route_id,service_id,trip_id,trip_headsign,direction_id
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP001,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP002,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP003,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP004,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP005,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP006,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP007,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP008,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP009,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP010,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP011,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP012,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP013,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP014,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP015,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP016,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP017,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP018,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP019,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP020,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP021,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP022,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP023,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP024,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP025,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP026,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP027,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP028,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP029,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP030,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP031,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP032,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP033,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP034,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP035,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP036,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP037,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP038,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP039,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP040,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP041,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP042,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP043,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP044,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP045,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP046,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP047,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP048,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP049,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP050,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP051,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP052,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP053,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP054,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP055,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP056,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP057,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP058,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP059,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP060,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP061,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP062,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP063,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP064,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP065,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP066,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP067,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP068,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP069,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP070,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP071,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP072,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP073,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS1_TRIP074,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP001,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP002,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP003,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP004,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP005,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP006,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP007,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP008,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP009,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP010,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP011,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP012,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP013,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP014,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP015,Alwal,0
ROUTE_A,WEEKDAY,ROUTE_A_BUS2_TRIP016,Alwal,0
